zip_code,x_km,y_km,median_income_k
ZIP048,65.33905473897383,42.02944032207011,93.37303702546518
ZIP049,36.67195504258793,52.49212660689055,83.52306532243539
ZIP050,79.55697723224631,65.17022327613992,88.77610474636599
ZIP051,1.0907046727330783,37.1040855949764,45.29965760600747
ZIP052,48.02770389318432,98.61277958908227,87.17681298630156
ZIP053,9.681013063787914,27.732363524993463,66.49842501284422
ZIP054,12.807294440036731,68.13782099808738,66.37712409840624
ZIP055,81.92242079392031,54.521059132747,86.01536683528317
ZIP056,60.3385784259556,52.71150399161731,88.61564931710538
ZIP057,96.58762082517207,0.7724887406071357,83.3008456457854
ZIP058,69.32007772209192,75.75674644583668,89.89687690018756
ZIP059,97.54580945429197,20.161453131462693,104.22407228495585
ZIP060,51.72967382144137,74.03702502687028,87.8722001714447
ZIP061,52.487465588629,11.475466922164179,56.25728901379433
ZIP062,11.794287378154333,44.58225793631204,67.00563371444198
ZIP063,33.18013886465613,27.8452305000064,75.56355650235682
ZIP064,27.24164335953564,21.04221298923774,62.18311748041067
ZIP065,86.98608377043516,36.51091074306515,101.93714830061218
ZIP066,8.689839687079848,79.57846791560834,56.52550169757388
ZIP067,47.85215592800657,8.977682631740114,77.59887837659305
ZIP068,83.77898351745696,66.09329525179623,82.2100935933976
ZIP069,50.97879964582101,22.29805152974853,84.10784576654287
ZIP070,4.83459820917963,46.08405771303916,78.40385093963812
ZIP071,61.32571666254481,62.05783678434121,95.29448276180074
ZIP072,40.832122480667046,16.001081075819645,67.01022733056905
ZIP073,71.2622939283032,92.85056910725066,69.88179047146446
ZIP074,8.858355638882099,65.02433840659778,65.57916216530157
ZIP075,38.18441536191586,56.28513822256092,94.89735550640299
ZIP076,2.389482613544247,53.61600006055433,55.33653686167936
ZIP077,38.53047099483248,73.8996064497873,99.96021379275035
ZIP078,14.210886403997879,94.23403863981797,68.28438781114222
ZIP079,22.25725399720441,26.956684918419572,61.2578339274548
ZIP080,79.38129264940265,5.267708707103614,95.09601760171057
ZIP081,71.80839738379234,17.092751226360747,77.15755820676324
ZIP082,48.370248091061654,49.38957534252173,115.40392306533045
ZIP083,98.02304834339034,71.14025037967137,95.40796687640031
ZIP084,76.13146677270986,51.681322321972345,106.6585617591717
ZIP085,9.081082270942053,22.49283601181391,60.11825217492394
ZIP086,53.72969396051979,23.01030962968359,91.42437736975187
ZIP087,67.79340356425098,95.40995304725521,79.9877666307681
ZIP088,74.01805976261569,33.599561023477385,115.34225393113601
ZIP089,62.755658516776,68.02750247797934,77.85609284592765
ZIP090,88.32838023788622,73.42259001279872,94.8437569829288
ZIP091,79.9860475035343,38.51524924890002,101.7836157302149
ZIP092,55.39427886087731,52.99956976094548,94.24342262456544
ZIP093,87.05216043587282,11.340585243389445,86.61984411269448
ZIP094,40.92046819728046,45.33404437647716,80.545882621955
ZIP095,6.7217085386541475,5.127701682742359,43.20919455875609
ZIP096,14.114857011550864,39.87442993651283,55.5827859719287
ZIP097,99.7486261159769,91.27682921341204,90.94765103771104
ZIP098,19.689526501123655,45.09716915672879,79.2593130359215
ZIP099,88.78846240944,6.670973655468815,78.88499183577021
ZIP100,64.78467554049107,99.90495515907276,72.31749084250033
